name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"43.3039263,-89.3877515",2023-08-13,70.7,57.2,65.7,70.7,57.2,65.7,62.6,89.8,0.02,100,16.67,rain,0,0,17.2,8.8,71.3,1015.9,63.5,9.8,85.3,7.5,4,10,2023-08-13T06:00:27,2023-08-13T20:03:45,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72650354833,E4463,KDLL,72641014837,KC29,99999900236,KMSN"
"43.3039263,-89.3877515",2023-08-14,70.6,61.3,64.7,70.6,61.3,64.7,61.1,88.4,1.678,100,37.5,rain,0,0,28.4,15.8,48.2,1013.5,97.1,8.3,112.3,9.6,9,10,2023-08-14T06:01:33,2023-08-14T20:02:16,0.94,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72650354833,E4463,KDLL,72641014837,KC29,99999900236,KMSN"
"43.3039263,-89.3877515",2023-08-15,76.5,57.7,66.4,76.5,57.7,66.4,55.1,70,0,0,0,rain,0,0,21.9,11.3,332.8,1016.5,30.6,9.9,237.7,20.5,8,10,2023-08-15T06:02:39,2023-08-15T20:00:47,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72650354833,E4463,72641014837,KDLL,KC29,99999900236,KMSN"
"43.3039263,-89.3877515",2023-08-16,79.8,56.6,69.5,79.8,56.6,69.5,57.8,69,0,0,0,,0,0,27,18,213.6,1013.2,15,9.9,234.8,20.4,7,10,2023-08-16T06:03:45,2023-08-16T19:59:16,0,Clear,Clear conditions throughout the day.,clear-day,"72650354833,E4463,72641014837,KDLL,KC29,99999900236,KMSN"
"43.3039263,-89.3877515",2023-08-17,72,55.7,68.1,72,55.7,68.1,56.5,68,0.146,100,16.67,rain,0,0,30,15.5,291.9,1007.2,56.1,9.9,184.5,16,10,10,2023-08-17T06:04:51,2023-08-17T19:57:44,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72650354833,E4463,72641014837,KDLL,KC29,99999900236,KMSN"
"43.3039263,-89.3877515",2023-08-18,75.6,51.1,65.1,75.6,51.1,65.1,53.5,69,0,0,0,,0,0,13.9,7.2,214.2,1016.2,27.2,9.8,184.5,16.1,7,10,2023-08-18T06:05:58,2023-08-18T19:56:12,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72650354833,E4463,72641014837,KDLL,KC29,99999900236,KMSN"
"43.3039263,-89.3877515",2023-08-19,84.7,63.1,73.6,88.4,63.1,74.6,62.7,69.3,0,0,0,,0,0,27.5,15.8,187.1,1013.5,30.8,9.9,213.1,18.5,7,15,2023-08-19T06:07:04,2023-08-19T19:54:38,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72650354833,E4463,72641014837,KDLL,KC29,99999900236,KMSN"
"43.3039263,-89.3877515",2023-08-20,90.3,72.8,80.7,98.4,72.8,83.9,70.8,73,0,0,0,,0,0,17.2,9.1,44.4,1017.7,51.1,9.9,207.4,17.8,7,30,2023-08-20T06:08:10,2023-08-20T19:53:03,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72650354833,E4463,72641014837,KDLL,KC29,99999900236,KMSN"
"43.3039263,-89.3877515",2023-08-21,83,62.4,72.8,84.2,62.4,73.2,62.6,71.4,0,0,0,,0,0,17.2,9.4,76.7,1023.6,41.1,9.9,192.1,16.7,7,10,2023-08-21T06:09:16,2023-08-21T19:51:27,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72650354833,E4463,72641014837,KDLL,KC29,99999900236,KMSN"
"43.3039263,-89.3877515",2023-08-22,88,63.4,76.1,91,63.4,77.8,66.3,73.6,0,0,0,,0,0,16.4,12.3,169.7,1020.7,4,9.7,208.3,17.8,7,30,2023-08-22T06:10:23,2023-08-22T19:49:51,0.22,Clear,Clear conditions throughout the day.,clear-day,"72650354833,E4463,72641014837,KDLL,KC29,99999900236,KMSN"
"43.3039263,-89.3877515",2023-08-23,97.3,78.6,87.4,114.4,78.6,97.4,77.3,73.8,0,0,0,,0,0,23,11.1,233.5,1012.7,8.9,8.8,213.5,18.4,7,100,2023-08-23T06:11:29,2023-08-23T19:48:13,0.25,Clear,Clear conditions throughout the day.,clear-day,"72650354833,E4463,72641014837,KDLL,KC29,99999900236,KMSN"
"43.3039263,-89.3877515",2023-08-24,95.5,77.5,86.6,111.7,77.5,97.3,76.9,74,0,0,0,rain,0,0,20.8,9.2,271.1,1009.7,24.4,9.7,193,16.8,7,100,2023-08-24T06:12:35,2023-08-24T19:46:35,0.25,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72650354833,E4463,72641014837,KDLL,KC29,99999900236,KMSN"
"43.3039263,-89.3877515",2023-08-25,82.6,70.5,75.5,86.9,70.5,76.2,69.9,83.3,0,0,0,rain,0,0,11.4,10.1,89.9,1014,72.4,9,139.3,12.1,8,30,2023-08-25T06:13:42,2023-08-25T19:44:56,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72650354833,E4463,72641014837,KDLL,KC29,99999900236,KMSN"
"43.3039263,-89.3877515",2023-08-26,72.2,59,67.9,72.2,59,67.9,61.9,82,0,0,0,,0,0,18.3,14.1,37,1018,70.8,9.4,82.4,7.1,3,10,2023-08-26T06:14:48,2023-08-26T19:43:16,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72650354833,E4463,72641014837,KDLL,KC29,99999900236,KMSN"
"43.3039263,-89.3877515",2023-08-27,75.7,56.3,64.7,75.7,56.3,64.7,56.1,75.6,0,0,0,rain,0,0,18.3,7.5,42.1,1019.2,61.3,9.9,148.8,12.7,8,10,2023-08-27T06:15:54,2023-08-27T19:41:35,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72650354833,E4463,72641014837,KDLL,KC29,99999900236,KMSN"
"43.3039263,-89.3877515",2023-08-28,80.3,53.5,67.8,80.6,53.5,67.8,55,65.9,0,0,0,,0,0,18.3,7.1,228.6,1016.6,31.7,9.9,176.7,15.2,8,10,2023-08-28T06:17:00,2023-08-28T19:39:54,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72650354833,E4463,72641014837,KDLL,KC29,99999900236,KMSN"
"43.3039263,-89.3877515",2023-08-29,80.4,62,71.7,80.9,62,71.7,58.7,65.3,0.014,100,4.17,rain,0,0,19.7,12.8,324,1013,51.8,9.9,166.3,14.4,7,10,2023-08-29T06:18:07,2023-08-29T19:38:12,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72650354833,E4463,72641014837,KDLL,KC29,99999900236,KMSN"
"43.3039263,-89.3877515",2023-08-30,72.7,49,60.1,72.7,48.1,60.1,48.4,67.9,0,0,0,,0,0,13.9,10.1,34.3,1019.2,9.7,9.9,200.7,17.3,7,10,2023-08-30T06:19:13,2023-08-30T19:36:29,0.5,Clear,Clear conditions throughout the day.,clear-day,"72650354833,E4463,72641014837,KDLL,KC29,99999900236,KMSN"
"43.3039263,-89.3877515",2023-08-31,78,43.7,62,78,43.7,62,49.3,67.6,0,0,0,,0,0,16.1,9.9,128,1020.1,0.7,9.8,194.5,16.8,7,10,2023-08-31T06:20:19,2023-08-31T19:34:46,0.52,Clear,Clear conditions throughout the day.,clear-day,"72650354833,E4463,72641014837,KDLL,KC29,99999900236,KMSN"
"43.3039263,-89.3877515",2023-09-01,82.8,54.2,68.3,81.1,54.2,68,51.9,60.2,0,0,0,,0,0,23,12.6,196.4,1020.5,12.6,9.9,187.5,16.2,7,10,2023-09-01T06:21:25,2023-09-01T19:33:02,0.55,Clear,Clear conditions throughout the day.,clear-day,"72650354833,E4463,72641014837,KDLL,KC29,99999900236,KMSN"
"43.3039263,-89.3877515",2023-09-02,89.9,65.4,76.5,90.2,65.4,76.7,59.6,57.7,0,0,0,,0,0,23,12.6,216.3,1016.3,30.8,9.9,181.8,15.5,7,10,2023-09-02T06:22:31,2023-09-02T19:31:18,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72650354833,E4463,72641014837,KDLL,KC29,99999900236,KMSN"
"43.3039263,-89.3877515",2023-09-03,95,70.3,81.3,94.9,70.3,81.3,59.3,48.8,0,0,0,,0,0,23,11.2,218,1012.1,9.6,9.9,186.1,16.2,7,10,2023-09-03T06:23:37,2023-09-03T19:29:33,0.62,Clear,Clear conditions throughout the day.,clear-day,"72650354833,E4463,72641014837,KDLL,KC29,99999900236,KMSN"
"43.3039263,-89.3877515",2023-09-04,92.7,69.5,81.4,93.9,69.5,82.6,64.1,57.7,0,0,0,,0,0,20.3,13.1,199.1,1010.9,9.4,9.9,176.6,15.3,7,30,2023-09-04T06:24:43,2023-09-04T19:27:48,0.65,Clear,Clear conditions throughout the day.,clear-day,"72650354833,E4463,72641014837,KDLL,KC29,99999900236,KMSN"
"43.3039263,-89.3877515",2023-09-05,86.4,74.1,79.6,89.9,74.1,80.8,68.2,69.1,0,0,0,rain,0,0,25.3,16.9,181.3,1009.2,38,9.9,110.5,9.7,6,30,2023-09-05T06:25:49,2023-09-05T19:26:02,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72650354833,E4463,72641014837,KDLL,KC29,99999900236,KMSN"
"43.3039263,-89.3877515",2023-09-06,79.8,65.4,73,79.8,65.4,73,66.5,80.4,0.014,100,8.33,rain,0,0,25.3,11.5,278.8,1007.6,82.8,9.4,79.8,7.1,3,30,2023-09-06T06:26:55,2023-09-06T19:24:15,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72650354833,E4463,72641014837,KDLL,KC29,99999900236,KMSN"
"43.3039263,-89.3877515",2023-09-07,66.4,58.7,63.6,66.4,58.7,63.6,55.6,75.6,0,0,0,rain,0,0,21.9,9.5,347.4,1014.3,98.1,9.9,79.4,7.1,3,10,2023-09-07T06:28:01,2023-09-07T19:22:29,0.75,Overcast,Cloudy skies throughout the day.,cloudy,"72650354833,E4463,72641014837,KDLL,KC29,99999900236,KMSN"
"43.3039263,-89.3877515",2023-09-08,64.5,53.4,60.6,64.5,53.4,60.6,56.9,87.7,0.036,100,29.17,rain,0,0,10.3,5.8,15.8,1019.6,89.9,8.8,83.1,7.1,6,10,2023-09-08T06:29:07,2023-09-08T19:20:42,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"72650354833,E4463,72641014837,KDLL,KC29,99999900236,KMSN"
"43.3039263,-89.3877515",2023-09-09,75.2,47.3,61.1,75.2,47.3,61.1,52.3,76.4,0,0,0,rain,0,0,8.1,4.7,291.4,1022.2,35.8,7.1,166.9,14.5,6,10,2023-09-09T06:30:13,2023-09-09T19:18:54,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72650354833,E4463,72641014837,KDLL,KC29,99999900236,KMSN"
"43.3039263,-89.3877515",2023-09-10,77.9,60.3,67.8,77.9,60.3,67.8,55.1,64.6,0,0,0,rain,0,0,16.1,10.5,317.9,1020.2,60.9,9.9,163,14.1,7,10,2023-09-10T06:31:19,2023-09-10T19:17:07,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72650354833,E4463,72641014837,KDLL,KC29,99999900236,KMSN"
"43.3039263,-89.3877515",2023-09-11,67.9,57.1,61,67.9,57.1,61,56.8,86.8,0.232,100,29.17,rain,0,0,12.8,8.6,20.7,1019.6,89.5,9,50.5,4.3,3,10,2023-09-11T06:32:25,2023-09-11T19:15:19,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72650354833,E4463,72641014837,KDLL,KC29,99999900236,KMSN"
"43.3039263,-89.3877515",2023-09-12,69.9,50.2,59,69.9,50.2,59,51.5,78.4,0.165,100,29.17,rain,0,0,32.2,8.3,346.9,1019.5,70.9,9.2,121.7,10.5,7,10,2023-09-12T06:33:31,2023-09-12T19:13:30,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72650354833,E4463,72641014837,KDLL,KC29,99999900236,KMSN"
"43.3039263,-89.3877515",2023-09-13,64.5,47.7,55.1,64.5,47.7,55.1,48.9,81.7,0.002,100,4.17,rain,0,0,13.9,8,15.9,1020.5,68.7,8.3,147.3,12.6,8,10,2023-09-13T06:34:37,2023-09-13T19:11:42,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72650354833,E4463,72641014837,KDLL,KC29,99999900236,KMSN"
"43.3039263,-89.3877515",2023-09-14,72.8,42,57.7,72.8,42,57.7,47.4,72.6,0,0,0,,0,0,11.4,7.2,164.5,1021.6,7.4,9,160.7,14,6,10,2023-09-14T06:35:44,2023-09-14T19:09:53,0,Clear,Clear conditions throughout the day.,clear-day,"72650354833,E4463,72641014837,KDLL,KC29,99999900236,KMSN"
"43.3039263,-89.3877515",2023-09-15,77.1,52.6,65.5,77.1,52.6,65.5,49.3,57.9,0,0,0,,0,0,23,10.6,218.8,1019.1,46.9,9.9,138.9,11.8,6,10,2023-09-15T06:36:50,2023-09-15T19:08:04,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72650354833,F3620,E4463,72641014837,KDLL,KC29,99999900236,KMSN"
"43.3039263,-89.3877515",2023-09-16,70,55.3,63.2,70,55.3,63.2,55,75.6,0.024,100,16.67,rain,0,0,9.2,6,300.5,1016.3,75.8,9.7,63.6,5.5,3,10,2023-09-16T06:37:56,2023-09-16T19:06:16,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72650354833,F3620,72641014837,KDLL,KC29,99999900236,KMSN"
"43.3039263,-89.3877515",2023-09-17,72.4,52.4,62,72.4,52.4,62,52.7,75.1,0.016,100,12.5,rain,0,0,22.3,11.4,10.8,1016.6,68.5,9.3,150,12.8,7,10,2023-09-17T06:39:02,2023-09-17T19:04:26,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72650354833,F3620,72641014837,KDLL,KC29,99999900236,KMSN"
"43.3039263,-89.3877515",2023-09-18,72.8,45.8,59.1,72.8,45.8,59.1,49.1,73.4,0,0,0,,0,0,13.9,9,92.8,1017.2,52.5,8.9,114,9.9,5,10,2023-09-18T06:40:09,2023-09-18T19:02:37,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72650354833,F3620,72641014837,KDLL,KC29,99999900236,KMSN"
"43.3039263,-89.3877515",2023-09-19,70.6,57.3,62.3,70.6,57.3,62.3,56,80.6,0.269,100,29.17,rain,0,0,23.4,15.1,161.3,1014.5,82.8,9.6,97.4,8.4,7,10,2023-09-19T06:41:15,2023-09-19T19:00:48,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72650354833,F3620,72641014837,KDLL,KC29,99999900236,KMSN"
"43.3039263,-89.3877515",2023-09-20,78.7,58.6,67.5,78.7,58.6,67.5,58.9,75.3,0,0,0,,0,0,19.7,12.1,177.6,1016.4,41,9.7,103.2,9,6,30,2023-09-20T06:42:22,2023-09-20T18:58:59,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F3620,72641014837,KDLL,KC29,KMSN"
"43.3039263,-89.3877515",2023-09-21,78.1,61.6,68.6,78.1,61.6,68.6,59.5,75.3,0.034,100,8.33,rain,0,0,23,12.8,121,1021.5,65.5,8.7,77,6.5,6,10,2023-09-21T06:43:29,2023-09-21T18:57:10,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"F3620,KDLL,KC29,KMSN"
"43.3039263,-89.3877515",2023-09-22,76,61.1,67.1,76,61.1,67.1,61.1,81.7,0.147,27,33.33,rain,0,0,20.8,12.8,128.6,1020.1,69.8,9.8,100.2,8.6,5,10,2023-09-22T06:44:36,2023-09-22T18:55:21,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F3620,KDLL,KC29,KMSN"
