nwsli,date,time,high_F,low_F,precip,snow_inch,snowd_inch
CHMW3,2023-04-10,06 AM,,,0,0,0
CHMW3,2023-04-11,06 AM,,,0,0,0
CHMW3,2023-04-12,08 AM,,,0,0,0
CHMW3,2023-04-13,05 AM,,,0,0,0
CHMW3,2023-04-14,06 AM,,,0,0,0
CHMW3,2023-04-15,07 AM,,,0,0,0
CHMW3,2023-04-16,06 AM,,,0.53,0,0
CHMW3,2023-04-17,07 AM,,,0.6,2,2
CHMW3,2023-04-18,07 AM,,,0.02,T,0
CHMW3,2023-04-19,07 AM,,,T,0,0
CHMW3,2023-04-20,07 AM,,,0.05,0,0
CHMW3,2023-04-21,06 AM,,,0.12,0,0
CHMW3,2023-04-22,06 AM,,,0.02,T,0
CHMW3,2023-04-23,08 AM,,,0.01,T,0
CHMW3,2023-04-24,06 AM,,,T,0,0
CHMW3,2023-04-25,06 AM,,,0.05,0,0
CHMW3,2023-04-26,08 AM,,,T,0,0
CHMW3,2023-04-27,06 AM,,,0,0,0
CHMW3,2023-04-28,06 AM,,,0,0,0
CHMW3,2023-04-29,06 AM,,,0.25,0,0
CHMW3,2023-04-30,08 AM,,,0.1,0,0
CHMW3,2023-05-01,06 AM,,,0.12,0,0
CHMW3,2023-05-02,06 AM,,,0.1,0,0
CHMW3,2023-05-03,06 AM,,,0,0,0
CHMW3,2023-05-04,06 AM,,,0,0,0
CHMW3,2023-05-05,06 AM,,,0,0,0
CHMW3,2023-05-06,06 AM,,,0.09,0,0
CHMW3,2023-05-07,07 AM,,,0,0,0
CHMW3,2023-05-08,06 AM,,,0.03,0,0
CHMW3,2023-05-09,06 AM,,,0.48,0,0
CHMW3,2023-05-10,06 AM,,,0,0,0
CHMW3,2023-05-11,06 AM,,,0,0,0
CHMW3,2023-05-12,05 AM,,,T,0,0
CHMW3,2023-05-13,06 AM,,,0.02,0,0
CHMW3,2023-05-14,08 AM,,,0,0,0
CHMW3,2023-05-15,06 AM,,,0.14,0,0
CHMW3,2023-05-16,05 AM,,,T,0,0
CHMW3,2023-05-17,06 AM,,,0,0,0
CHMW3,2023-05-18,06 AM,,,0,0,0
CHMW3,2023-05-19,06 AM,,,0.06,0,0
CHMW3,2023-05-20,06 AM,,,0,0,0
CHMW3,2023-05-21,06 AM,,,0,0,0
CHMW3,2023-05-22,06 AM,,,0,0,0
CHMW3,2023-05-23,05 AM,,,0,0,0
CHMW3,2023-05-24,06 AM,,,0,0,0
CHMW3,2023-05-25,06 AM,,,0,0,0
CHMW3,2023-05-26,06 AM,,,0,0,0
CHMW3,2023-05-27,07 AM,,,0,0,0
CHMW3,2023-05-28,06 AM,,,0,0,0
