"","Date","Max","Min","Rain","GDDDaily","Cumulative Rainfall (in)","S13-S16","S21-S24","S9-S12","S17-S20"
"1","4/25/2023",49.2,31.5,0,0,0,0,NA,NA,NA
"2","4/26/2023",54.3,25.6,0,2.15,0,2.15,2.15,NA,NA
"3","4/27/2023",65.4,38.2,0,7.7,0,9.85,9.85,7.7,7.7
"4","4/28/2023",66.9,41,0,8.45,0,18.3,18.3,16.15,16.15
"5","4/29/2023",46,41,0.16,0,0.16,18.3,18.3,16.15,16.15
"6","4/30/2023",40.1,34,0.36,0,0.52,18.3,18.3,16.15,16.15
"7","5/1/2023",41.9,33.1,0.37,0,0.89,18.3,18.3,16.15,16.15
"8","5/2/2023",46.9,36.1,0,0,0.89,18.3,18.3,16.15,16.15
"9","5/3/2023",58.8,30,0,4.4,0.89,22.7,22.7,20.55,20.55
"10","5/4/2023",70.9,40.1,0.04,10.45,0.93,33.15,33.15,31,31
"11","5/5/2023",66.9,46,0.1,8.45,1.03,41.6,41.6,39.45,39.45
"12","5/6/2023",65.1,54.1,0.28,9.59999999999999,1.31,51.2,51.2,49.05,49.05
