"Day","Date","Min","Max","Ave","Today","Since 1/1","Today","Since 1/1","Today","Since 1/1","Today","Since 1/1","Today","Since 1/1","Rain","Since 1/1"
"Thu","9/7","52.9","62.6","57.7","25.8","4708.9","17.8","3456","15.8","3170.9","12.8","2759.4","7.8","2112.4","0","19.46"
"Fri","9/8","48","72.2","60.1","28.1","4737","20.1","3476.1","18.1","3189","15.1","2774.5","10.3","2122.7","0","19.46"
"Sat","9/9","44.7","76.5","60.6","28.6","4765.6","20.6","3496.7","18.6","3207.6","15.6","2790.1","11.5","2134.2","0","19.46"
"Sun","9/10","54.4","70.5","62.5","30.5","4796.1","22.5","3519.2","20.5","3228.1","17.5","2807.6","12.5","2146.7","0.13","19.59"
"Mon","9/11","44.4","64.4","54.4","22.4","4818.5","14.4","3533.6","12.4","3240.5","9.4","2817","5.7","2152.4","0.01","19.6"
"Tue","9/12","43.1","66.5","54.8","22.8","4841.3","14.8","3548.4","12.8","3253.3","10","2827","6.4","2158.8","0.9","20.5"
"Wed","9/13","39.1","58.6","48.8","16.9","4858.2","8.9","3557.3","7.3","3260.6","5.3","2832.3","2.6","2161.4","0.01","20.51"
"Thu","9/14","36.2","72.9","54.5","22.6","4880.8","15.1","3572.4","13.5","3274.1","11.4","2843.7","8.3","2169.7","0","20.51"
"Fri","9/15","50.6","70.7","60.6","28.7","4909.5","20.7","3593.1","18.7","3292.8","15.7","2859.4","10.7","2180.4","0","20.51"
"Sat","9/16","49","74.2","61.6","29.6","4939.1","21.6","3614.7","19.6","3312.4","16.6","2876","11.7","2192.1","0","20.51"
"Sun","9/17","42.1","69.2","55.6","23.7","4962.8","15.7","3630.4","13.7","3326.1","11.1","2887.1","7.5","2199.6","0","20.51"
"Mon","9/18","41.4","70.9","56.2","24.2","4987","16.2","3646.6","14.2","3340.3","11.7","2898.8","8.2","2207.8","0","20.51"
"Tue","9/19","50.9","67.8","59.4","27.4","5014.4","19.4","3666","17.4","3357.7","14.4","2913.2","9.3","2217.1","0.01","20.52"
"Wed","9/20","52.4","79.5","66","34","5048.4","26","3692","24","3381.7","21","2934.2","16","2233.1","0","20.52"
"Thu","9/21","53.2","79.8","66.5","34.5","5082.9","26.5","3718.5","24.5","3406.2","21.5","2955.7","16.5","2249.6","0","20.52"
